grade,often,when,what,prevent,"how
",feel
Grade 10,Never,I don't come in for help,I don�t use Flex time�;,Nothing prevents me from using flex time,5,
Grade 11,Never,After school,I don�t use Flex time�;,Lack of energy or motivation,3,
Grade 10,Sometimes (2-4 times a month),During Flex time,To ask questions�;To study or ask for help;To do homework;To work on other projects�;,Lack of energy or motivation,4,No
Grade 10,Sometimes (2-4 times a month),During Flex time,To ask questions�;To study or ask for help;,Lack of energy or motivation,4,
Grade 10,Never,I don't come in for help,I don�t use Flex time�;,Nothing prevents me from using flex time,3,
Grade 10,Sometimes (2-4 times a month),Lunch,sleep;,sleep,0,i luv extended flex
Grade 10,Never,I don't come in for help;,I don�t use Flex time�;,No need for flex.,5,No
Grade 11,Very often (3 or more times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;,Nothing prevents me from using flex time,1,No
Grade 11,Sometimes (2-4 times a month),During Flex time;After school;Spare blocks when they line up with teachers;,To study or ask for help;To ask questions�;,Time of day,0,
Grade 10,Often (1-2 times a week),During Flex time;,To study or ask for help;To meet with peers�;To work on other projects�;,Lack of energy or motivation,0,
Grade 10,Sometimes (2-4 times a month),During Flex time;,To ask questions�;To study or ask for help;To do homework;To meet with peers�;To work on other projects�;,Lack of energy or motivation,4,
Grade 10,Never,During Flex time;,To work on other projects�;To study or ask for help;,Lack of energy or motivation,0,
Grade 9,Sometimes (2-4 times a month),During Flex time;,To meet with peers�;To do homework;,Lack of energy or motivation,3,??
Grade 10,Often (1-2 times a week),During Flex time;,To study or ask for help;,Availability of teachers,2,NOPE
Grade 10,Never,I don't come in for help;,hang out in a classroom because I don't want to be home.;,Nothing prevents me from using flex time,10,we can learn/study a lot more in classes if we had longer class time
Grade 10,Sometimes (2-4 times a month),During Flex time;After school;,To do homework;To study or ask for help;To ask questions�;To meet with peers�;To work on other projects�;,Availability of teachers,0,N/A
Grade 12,Often (1-2 times a week),During Flex time;,To study or ask for help;To do homework;To work on other projects�;,Availability of teachers,3,Nope
Grade 12,Never,I don't come in for help;,To work on other projects�;To meet with peers�;To do homework;To study or ask for help;,Nothing prevents me from using flex time,4,
Grade 11,Sometimes (2-4 times a month),During Flex time;,To ask questions�;,Nothing prevents me from using flex time,0,
Grade 12,Rarely (2 or less times a month),Lunch;After school;,I don�t use Flex time�;To ask questions�;,Availability of teachers,5,
Grade 10,Never,"Usually flex, but usually not for school work ;",To meet with peers�;,Nothing prevents me from using flex time,3,"Hiiiiii
I'm Jeremy and I stole the posters from Dominic ??????
"
Grade 11,Often (1-2 times a week),During Flex time;After school;,To study or ask for help;To do homework;To work on other projects�;Mr. Davies Flex Class;,Lack of energy or motivation,0,
Grade 9,Very often (3 or more times a week),During Flex time;,To do homework;To study or ask for help;To meet with peers�;To work on other projects�;To ask questions�;,Nothing prevents me from using flex time,0,"I would sob myself to sleep every night if flex was gone, it's my reason for living. Please don't take ir away from me, I will beg and scream and sob and throw up till you bring it back. Please let a girl dream as much as she wants I'm begging you please. Flex is my reason for living. "
Grade 9,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;To work on other projects�;,Lack of energy or motivation,0,
Grade 10,Rarely (2 or less times a month),During Flex time;,To meet with peers�;To ask questions�;To do homework;,Availability of teachers,0,Having to be in a classroom also limits my use of flex because if I wanted to meet with peers we would have to choose a classroom that is also near our first periods. 
Grade 12,Often (1-2 times a week),During Flex time;,To do homework;,Lack of energy or motivation,4,
Grade 11,Often (1-2 times a week),During Flex time;,To ask questions�;To meet with peers�;To work on other projects�;To do homework;To study or ask for help;,Lack of energy or motivation,0,
Grade 9,Sometimes (2-4 times a month),During Flex time;,missing work and tests;,Nothing prevents me from using flex time,4,no
Grade 11,Often (1-2 times a week),During Flex time;,To do homework;To work on other projects�;To study or ask for help;,Nothing prevents me from using flex time,0,nope
Grade 10,Often (1-2 times a week),During Flex time;,To meet with peers�;To work on other projects�;To do homework;,Availability of teachers,0,I love flex time so much and I will literally transfer if they remove it.
Grade 11,Rarely (2 or less times a month),During Flex time;After school;,To study or ask for help;To ask questions�;To meet with peers�;,Bad sleep schedule (wake up too late),1,
Grade 10,Rarely (2 or less times a month),During Flex time;,To meet with peers�;,Communicating with peers,6,
Grade 12,Sometimes (2-4 times a month),During Flex time;Lunch;during break;,practice instrument;To ask questions�;To meet with peers�;To study or ask for help;To do homework;,Availability of teachers,2,
Grade 12,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;To do homework;To ask questions�;,Nothing prevents me from using flex time,2,
Grade 9,Rarely (2 or less times a month),During Flex time;,To meet with peers�;To do homework;To study or ask for help;To ask questions�;To work on other projects�;,Lack of energy or motivation,4,
Grade 10,Rarely (2 or less times a month),During Flex time;Lunch;,To do homework;To ask questions�;To meet with peers�;,Nothing prevents me from using flex time,4,
Grade 11,Often (1-2 times a week),During Flex time;,To do homework;To ask questions�;,Lack of energy or motivation,3,N/A
Grade 9,Often (1-2 times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;To meet with peers�;To work on other projects�;,I don�t know,5,No
Grade 12,Sometimes (2-4 times a month),During Flex time;After school;Lunch;,To do homework;To study or ask for help;,Nothing prevents me from using flex time,2,
Grade 10,Sometimes (2-4 times a month),During Flex time;Lunch;,To meet with peers�;To study or ask for help;To do homework;To ask questions�;,Availability of teachers,0,
Grade 10,Rarely (2 or less times a month),Lunch;,To do homework;To study or ask for help;To ask questions�;To meet with peers�;,Lack of energy or motivation,5,
Grade 8,Often (1-2 times a week),During Flex time;,To do homework;To ask questions�;To work on other projects�;To meet with peers�;To study or ask for help;,Lack of energy or motivation,0,
Grade 8,Sometimes (2-4 times a month),I don't come in for help;,To meet with peers�;,Nothing prevents me from using flex time,0,
Grade 8,Sometimes (2-4 times a month),During Flex time;,To meet with peers�;,Lack of energy or motivation,7,
Grade 8,Very often (3 or more times a week),I don't come in for help;,To do homework;To study or ask for help;To ask questions�;,Nothing prevents me from using flex time,2,
Grade 8,Rarely (2 or less times a month),After school;,To ask questions�;To meet with peers�;To do homework;,Waking up late,4,No
Grade 10,Sometimes (2-4 times a month),During Flex time;,To ask questions�;To study or ask for help;,Lack of energy or motivation,2,
Grade 11,Rarely (2 or less times a month),During Flex time;,To meet with peers�;,Lack of energy or motivation,5,If it was removed would school start at 8:37 instead
Grade 12,Rarely (2 or less times a month),During Flex time;After school;,To study or ask for help;,too early,4,
Grade 10,Rarely (2 or less times a month),During Flex time;,To do homework;To study or ask for help;To meet with peers�;To work on other projects�;,Communicating with peers,0,Good job guys =)
Grade 12,Very often (3 or more times a week),During Flex time;After school;,To do homework;To work on other projects�;,Distractions in class. i.e. devices/people talking,0,
Grade 11,Rarely (2 or less times a month),After school;,To ask questions�;,Lack of energy or motivation,3,please don�t remove flex because i already cannot get to school on time as it is.
Grade 12,Rarely (2 or less times a month),During Flex time;Lunch;,I don�t use Flex time�;To make up for missed tests;,Lack of energy or motivation,5,
Grade 11,Often (1-2 times a week),During Flex time;,To study or ask for help;,Nothing prevents me from using flex time,0,
Grade 12,Never,I don't come in for help;,I don�t use Flex time�;,Nothing prevents me from using flex time,0,nada
Grade 11,Never,During Flex time;,I don�t use Flex time�;,Nothing prevents me from using flex time,0,"Please don�t remove flex time! But if you manage to it it removed school, still better start at 9:05."
Grade 11,Often (1-2 times a week),I don't come in for help;,To work on other projects�;To meet with peers�;To do homework;,Communicating with peers,2,
Grade 11,Very often (3 or more times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;To meet with peers�;To work on other projects�;,Lack of energy or motivation,1,
Grade 9,Often (1-2 times a week),During Flex time;Lunch;,To ask questions�;To study or ask for help;,Availability of teachers,0,
Grade 9,Sometimes (2-4 times a month),During Flex time;,To meet with peers�;,Availability of teachers,0,
Grade 12,Very often (3 or more times a week),During Flex time;After school;Lunch;,To study or ask for help;To ask questions�;To do homework;,Nothing prevents me from using flex time,0,
Grade 11,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;To do homework;,Nothing prevents me from using flex time,2,"Flex time a great way to catch up, ask questions, and support yourself as well as others. The only downside to flex time is that it is in the morning where most people are tired."
Grade 10,Often (1-2 times a week),During Flex time;,To do homework;To study or ask for help;To ask questions�;,Nothing prevents me from using flex time,2,Flex time has been invaluable to me as a student. I would not be where I currently am if I was not able to utilize flex time to improve my academics.
Grade 11,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;,Nothing prevents me from using flex time,7,
Grade 11,Sometimes (2-4 times a month),when I need help;,To study or ask for help;To work on other projects�;,Availability of teachers,0,
Grade 11,Sometimes (2-4 times a month),During Flex time;,To do homework;To work on other projects�;To study or ask for help;To meet with peers�;,Nothing prevents me from using flex time,0,DON'T REMOVE IT!!!!!!!!!!!!
Grade 9,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;To ask questions�;To do homework;,Nothing prevents me from using flex time,2,flex time is really helpful when ive missed a day and need time to catchup on notes.
Grade 9,Never,I don't come in for help;,I don�t use Flex time�;,Nothing prevents me from using flex time,5,
Grade 8,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;,Lack of energy or motivation,0,No sorry 
Grade 8,Often (1-2 times a week),During Flex time;,To study or ask for help;,Nothing prevents me from using flex time,3,No
Grade 10,Often (1-2 times a week),During Flex time;,To do homework;To work on other projects�;To meet with peers�;,Lack of energy or motivation,3,
Grade 9,Often (1-2 times a week),During Flex time;,To do homework;To study or ask for help;To meet with peers�;To work on other projects�;,Lack of energy or motivation,0,don't remove flex time ??
Grade 9,Rarely (2 or less times a month),During Flex time;I don't come in for help;,To study or ask for help;I don�t use Flex time�;,Lack of energy or motivation,8,
Grade 11,Often (1-2 times a week),During Flex time;,To do homework;,Nothing prevents me from using flex time,5,
Grade 8,Very often (3 or more times a week),Gay;,Gay;,Gay,0,You are Gay
Grade 12,Often (1-2 times a week),During Flex time;,To meet with peers�;To work on other projects�;To do homework;To study or ask for help;To ask questions�;,Sleepy,0,"Don't remove flex as a concept, it is really helpful for many people to extend their understanding of course topics or work more on things they are behind on with advice from teachers. "
Grade 12,Rarely (2 or less times a month),After school;Lunch;,To study or ask for help;To work on other projects�;,I struggle to arrive on-time in the mornings,3,I don't use flex time that often but I think it's a useful and important tool for the students who need it.
Grade 11,Rarely (2 or less times a month),During Flex time;,I don�t use Flex time�;,Lack of energy or motivation,2,
Grade 12,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;To do homework;Catching up with projects;,Lack of energy or motivation,4,
Grade 12,Rarely (2 or less times a month),I don't come in for help;,I don�t use Flex time�;To work on other projects�;,Lack of energy or motivation,5,
Grade 9,Rarely (2 or less times a month),During Flex time;,To do homework;To study or ask for help;To ask questions�;,Communicating with peers,0,
Grade 8,Never,I don't come in for help;,I don�t use Flex time�;,Nothing prevents me from using flex time,7,
Grade 9,Often (1-2 times a week),During Flex time;Lunch;,To study or ask for help;To ask questions�;To do homework;To meet with peers�;To work on other projects�;,Nothing prevents me from using flex time,0,
Grade 9,Rarely (2 or less times a month),Lunch;,I don�t use Flex time�;,waking up late ,0,
Grade 8,Sometimes (2-4 times a month),During Flex time;,To do homework;,Lack of energy or motivation,1,No.
Grade 11,Never,Lunch;,I don�t use Flex time�;,Sleeping,3,I like waking up late 
Grade 8,Sometimes (2-4 times a month),During Flex time;,To ask questions�;To meet with peers�;To do homework;,Lack of energy or motivation,5,n/a
Grade 8,Often (1-2 times a week),During Flex time;,To do homework;To study or ask for help;,Nothing prevents me from using flex time,1,No
Grade 8,Often (1-2 times a week),During Flex time;,To ask questions�;To study or ask for help;,Nothing prevents me from using flex time,1,
Grade 8,Very often (3 or more times a week),I don't come in for help;During Flex time;,To meet with peers�;To ask questions�;,Distractions in class. i.e. devices/people talking,5,
Grade 9,Never,I don't come in for help;,To work on other projects�;,Nothing prevents me from using flex time,5,It doesn�t effect to me if flex time removed. I just spend my time in library ? don� use flex.
Grade 8,Sometimes (2-4 times a month),Lunch;I don't come in for help;Sometimes after class;During Flex time;,To meet with peers�;To ask questions�;To work on other projects�;,Nothing prevents me from using flex time,4,I think flex is a really good block for asking teachers about work or just to do some work for example like me I�m in 8th grade and it�s a big change from elementary to high school so I sometimes use flex to ask my teacher about things that I�m still trying to adapt and flex is also fun because I can sometimes meet with peers which we don�t have classes together and just chat 
Grade 10,Sometimes (2-4 times a month),During Flex time;,To study or ask for help;,Lack of energy or motivation,4,
Grade 8,Often (1-2 times a week),I don't come in for help;,To do homework;To work on other projects�;,Nothing prevents me from using flex time,0,no
Grade 8,Very often (3 or more times a week),During Flex time;,To study or ask for help;To ask questions�;,Nothing prevents me from using flex time,2,"I believe flex time is a useful addition to the school schedule, and should be removed due to a few people not using it the way its intended. Many students like myself find it an efficient time to ask our teachers questions or for assistance with assignments. If flex would be taken away, we would have to find another time during school hours to discuss our questions, and most students have other activities or responsibilities during breaks and such. This means they'd be unable to improve their understandings of the subject they have questions about. Please don't remove flex time?????? a lot of people use it effectively and efficiently!!!"
Grade 8,Often (1-2 times a week),Lunch;During Flex time;,To study or ask for help;To ask questions�;,Nothing prevents me from using flex time,0,"Having flex is very useful, please don�t take it away."
